id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,65,3,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,65,3,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,28,1,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,28,1,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,66,3,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,66,3,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,28,1,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,28,1,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,66,3,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,66,3,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,28,1,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,28,1,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,66,3,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,66,3,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,28,1,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,28,1,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,66,3,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,66,3,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,28,1,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,28,1,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,28,1,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,28,1,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,65,3,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,65,3,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,28,1,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,28,1,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,66,3,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,66,3,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,28,1,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,28,1,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,66,3,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,66,3,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,28,1,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,28,1,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,66,3,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,66,3,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,28,1,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,28,1,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,66,3,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,66,3,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,79,4,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,76,4,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,30,1,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,79,4,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,76,4,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,30,1,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,45,2,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,43,2,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,2,Appartement,45,2,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
2025-1204058,2025-10-15,000001,Vente,42992718.91,16,,ALL DE LA MARCHE,0580,92380,92033,Garches,92,,,92033000AM0422,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,3415,2.170045,48.842047
